True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target
0,0.31567812,0.28041622,0.48955193,0.88657814,1.0309087,-0.5434289,0.40441132,-1.6334325,-0.021727845,1.8986807,-0.7223598,-0.87988627,-0.7209598,-1.0804822,-0.13468799,3.068503,1.9434861,0.06795633,-0.17491919,-1.293575,0.33607894,0.3443572,0.5060276,0.38964444,-0.42505977,0.88088286,1.273839,-0.70061237,0.5890025,0.27554575,-0.11774458,0.29235783,-0.17350608,0.7591123,2.671972,0.24485311,-0.513499,0.9409889,1.672976,0.9338882,0.32907695,0.2196656,-0.50662816,-0.36771333,0.3179003,-0.40997177,-1.1272681,0.54856825,-0.18131402,1.164594,0.064641885,0.28021985,0.4728559,1.2869904,1.4001107,-0.33758494,1.3962724,-1.6491624,-0.8201765,-1.1816812,-0.7486015,-2.0083249,-0.2544101,0.605625,-0.6252123,0.14315984,0.639659,-0.062046677,-0.20171145,0.00046508084,-0.5687753,-0.60744214,0.2109232,-0.26179445,2.312698,-0.14972207,-0.9509294,0.9901988,-0.119543,-1.8985097,-0.3237844,0.5863581,-0.20299783,-1.0544509,0.39479116,0.9749794,-0.18959306,-0.634562,-1.5217961,1.3764087,-1.218368,2.0768397,1.4794521,-0.33492398,1.2861853,-0.7979207,-0.22666812,0.116396956,-1.3277969,0.030556275,-0.79168725,1.7758918,-2.9264002,-0.6789198,1.0367396,-0.14914541,-1.7747779,1.5510601,-1.5765498,-0.5727611,-0.33147362,2.1400068,0.41636932,-0.69924766,-1.731451,0.7057047,-0.33733132,-1.3348963,-1.0352896,-0.7471071,0.52929974,-2.6112843,1.4047117,-2.5605078,0.69916564,-0.16136849,0.4606912,0.1402693,matheus
1,0.5643457,0.7585176,0.87363505,0.80579257,0.62330043,-1.1554346,2.2137897,-1.6930454,0.07686592,0.6795618,0.1509865,-1.4133973,-0.44804573,-0.7289034,-1.1763012,2.7235656,0.3778823,-0.59392416,-0.48522633,-0.4538303,1.1364031,0.36920914,0.13627386,0.17461321,-0.4890744,-0.9591842,1.4139453,-0.5360675,0.46605426,0.73927015,-0.40773687,0.25669876,-0.42374253,1.6659904,2.1068757,-0.5943039,-1.1386552,0.15765709,1.0924532,1.3223294,0.3258587,0.29383332,-0.811761,-0.28370082,0.12075293,-0.8400568,-1.4427898,0.75075734,0.593112,0.58734953,-0.8453089,0.8571041,0.4705038,1.5021777,0.27978468,0.23110074,1.0188472,-1.10861,-2.033071,0.22218397,-0.8586829,-0.30995154,-0.64820445,0.052059498,-0.6405101,1.5328257,1.428483,0.94583666,0.33039394,1.0666971,-0.3430293,0.35073993,0.38800314,-0.81167305,0.6050602,-0.4410771,-0.42036936,0.2506573,-0.38305864,-1.3953831,0.14633814,1.0752923,1.8190261,-1.6821915,0.73510367,0.8834829,-0.15435682,-1.0170523,-0.47370452,1.2207725,-0.6725858,1.7795241,1.23554,0.68745255,1.4822316,-0.64550316,-0.5437521,-0.047686577,-0.25287616,1.161381,-0.23063454,1.3430619,-2.2274866,0.9197364,1.4711757,0.27974093,-0.47742218,2.2173016,-2.7359889,-1.0887533,0.66815406,0.82814157,0.3070335,-0.5790149,-2.1786106,0.8529694,0.4878253,-0.1538434,-1.0801301,-1.3729106,1.7634745,-0.31280562,0.6116287,-3.1934228,0.40283394,0.011789598,-1.2510567,-0.11364682,matheus
2,0.3424443,0.4022557,-0.3790029,0.5066293,0.23721157,-0.95593053,0.7868976,-2.1754262,-0.23681799,1.4636471,-0.3193205,-1.5751835,-1.4104352,-2.4222531,-0.68548715,2.2974277,1.2358714,-0.22316052,0.1893107,-1.0342976,1.3042827,0.057829536,-0.47923744,0.28180897,-0.40454084,-0.068006836,1.3228997,-0.26402113,0.7413149,1.1894392,0.30733186,0.23736255,-0.26621747,1.297221,2.381862,-0.21193668,-1.0417595,-0.029075213,1.9968178,-0.011113144,-0.45644727,-0.2146966,-2.263479,0.1799295,0.08817003,-0.757536,-1.6297106,0.9347178,-0.65208715,0.03547993,-0.8392561,0.8409751,0.5061424,1.9002857,1.2978858,1.2968947,0.8337638,-1.6007606,-1.3706208,-1.1533502,-1.22333,-1.4927055,-0.11287621,0.080290645,-0.47664014,1.6010704,0.8579077,-0.3999873,-0.8172278,0.23961355,0.44896594,-0.5604171,0.39405185,-0.88824683,0.9033686,0.3103782,-1.1637396,0.8680101,-0.017843835,-1.3442023,0.08417524,0.40739438,0.061670084,-0.5360642,1.7078831,-0.3416415,-1.3981899,-1.1976572,-0.8043983,0.8350974,-0.73220396,1.1050031,-0.18223272,0.9812625,0.84643567,-1.1013017,-0.40963852,-0.6592536,-0.6653338,-0.29983833,-0.16088048,1.912656,-1.754397,0.4612063,1.0332835,0.8680753,-0.7072597,1.3110746,-1.7486776,-1.1037104,0.26942652,1.0772686,0.14869195,-0.78975105,-1.5182467,1.2051119,0.043531403,-0.982479,-1.780886,-0.020883348,1.9654953,-0.6742438,1.1829255,-2.8576534,0.08363491,0.2575578,0.28103215,-0.8631953,matheus
3,-0.64067006,0.50867784,0.24906975,0.73161626,-0.21157162,0.19241172,2.652221,-2.1913064,-1.1297561,1.1804421,-0.43910387,-0.31419152,-0.23593748,-0.7547225,0.10066932,2.2722921,-0.23651445,0.038946263,-0.4096542,0.21506523,-0.4972418,0.8153598,0.046609104,0.88851124,-1.300955,-0.35281134,0.9220892,-0.9394078,-0.14855585,0.8411935,0.998255,-1.403894,-0.47991708,2.2143734,1.7615839,-1.3516854,-0.24338298,0.12549616,2.9373283,-0.074022286,0.16705342,0.07512485,-1.1623042,-0.16308746,0.41036928,-1.1644859,-0.17172965,-0.5515828,0.53358287,0.7118082,-0.9817261,0.07273346,0.68551105,0.85262287,-0.14744681,0.5526598,0.20007856,-0.5947985,-0.4678583,-0.055524625,0.6335275,-0.37939233,0.261774,-0.6262959,-0.55314356,1.5819366,0.8577996,0.303622,-0.17175588,1.6245762,-0.37952903,0.22705528,1.6623254,-1.5207458,0.631699,-0.28205582,-0.67594326,0.2524145,0.5389437,0.2012697,-0.76706505,0.3557312,0.7401276,0.7016698,0.0869175,1.5413365,0.63777155,0.06536582,-0.1379757,1.002439,-0.17945519,0.5285249,-0.5722334,0.5543408,1.3962338,-1.5448098,0.13731335,-0.9702266,0.7327899,1.0238273,-0.430169,1.8426305,-1.7696025,2.4927795,2.1354027,0.43997478,-0.6604716,1.3903713,-2.3249385,-0.834017,1.4322978,0.52841926,0.32173613,0.21571814,-1.8793381,0.38818127,-0.83158755,0.3385528,-1.1600428,-1.0718942,0.9261656,0.10578783,0.52356565,-2.1631906,-1.4652046,-0.37951836,-0.2690814,-1.4635365,matheus
4,-0.48660907,0.07186645,-0.1636025,2.668999,0.52433825,-0.62897176,0.5599695,-1.4199255,0.37909764,1.8620952,-0.16948965,-0.8904644,-1.3130406,-1.9333924,-0.03239906,1.1353395,1.458083,0.39927632,-0.79300207,-0.41841772,0.3951027,-0.6506284,0.850573,0.94196737,0.08449176,-0.507367,2.1974926,0.538604,0.2265432,-0.9590981,-0.96495175,0.6298658,-2.1395953,0.87732804,2.0267692,-1.4018819,-0.64419794,0.05915375,1.3885689,-0.482726,-0.763823,-0.64444655,-0.38694778,1.1506327,0.33628494,-0.078410946,0.57808864,-1.0108331,-0.17620355,2.2958932,-1.5195296,0.29662576,0.9142009,2.2099345,1.2029551,1.0017962,0.17241916,-1.0761036,-1.6271691,-0.17347394,-0.72226536,-1.2177542,1.0270524,-1.1663364,-0.83547246,2.4109464,-0.35138574,0.48247302,-0.77604014,0.13355921,-1.4683805,-0.54782104,0.7351087,-0.49327487,0.34391573,-0.09187275,-0.9301065,-0.057374667,-0.24139848,-0.13656445,-0.14004622,-0.16495986,1.5161341,0.38680297,0.70699143,0.780155,0.37806737,-0.91889405,0.099026084,0.32712337,-0.6787697,-0.3448635,-0.75321764,-0.082777984,1.6387186,-1.2110966,-0.9026032,-0.83342755,-0.5909208,-0.18861462,-0.8183387,2.341089,-1.1979264,1.0575364,2.3486013,-0.20013015,-0.6001394,1.8217225,-1.0133622,-1.226709,1.7925965,0.286677,0.31505677,0.23389946,-2.7206035,0.5059012,-1.0601975,0.26523483,-1.0372738,-1.1929747,0.8766674,-1.2738883,0.7924864,-1.6321398,-1.0399117,0.44872984,0.7488808,-0.30224994,matheus
5,-0.59226966,0.09112981,-0.6011415,2.1548314,-0.08729949,-0.28991222,-0.23219575,-0.31405666,0.21865171,1.392974,-0.40907452,-1.1341269,0.20678313,-1.1219791,-0.8997451,0.5176858,0.70471954,0.9373517,-1.6553088,0.17638467,1.1117964,0.1949608,0.80796814,0.4395831,0.4774016,-0.09147655,1.488364,-0.67378515,-0.6951478,-0.4879996,0.59135795,0.4200205,-0.03275381,-0.47419676,2.2253616,-0.16782892,-0.5556302,0.4398086,1.1704729,0.74384737,0.035858616,0.7583028,-0.3323708,-0.88074285,1.0284117,-0.15712678,0.022262204,0.13352123,0.103517324,0.077272296,-0.14792761,0.83207405,1.6817727,0.38526112,1.6646827,0.88070804,1.1412874,-1.6833005,-0.13243319,-1.0610305,0.97137505,-0.39515388,-0.19685125,-0.83159226,0.3284017,-1.0006834,0.73769104,0.6854388,-1.4813608,-0.3669929,-1.0429974,1.4732589,-1.4988904,-1.0862974,0.9849784,-1.2502149,-1.2152972,0.6951931,-0.60225284,-1.6749908,0.76927984,-0.15610255,0.8004602,0.29997414,0.42129594,1.7316893,-0.7093888,-0.5702348,-1.3102477,-0.89644337,-1.1124742,0.9627706,-0.19456156,1.6236982,1.0689942,-0.7521898,0.4963816,-0.6973751,1.5698879,0.5305324,0.06024187,1.921899,-1.6857463,-0.98233867,0.2538111,-0.4181301,-2.0212693,2.0223973,-1.1649002,-0.58826417,-0.17821327,0.7759046,0.57098055,-0.37359816,-2.4861224,1.8070801,-0.78020716,-0.54801244,-1.6884634,0.24046941,0.72755194,-1.4805279,0.11153772,-2.6227999,-0.2120132,0.09027902,-0.2796159,-1.0772967,matheus
6,-0.89982533,0.73612905,-0.5990324,2.3067331,1.1607802,-1.5787697,1.1226987,-1.5269499,-1.1304263,1.3023269,0.6980501,-0.6871704,-0.5201753,-1.7501073,-1.0833645,1.6527919,1.0784888,-0.88818204,-1.9110456,-0.35032928,-0.34652907,1.0304866,-0.7165255,0.85733,-0.35564825,-0.026016064,1.6503025,0.65007645,0.11344428,0.25923592,0.7328588,-0.6615734,-0.58941317,0.58422565,1.9359848,0.17613944,-0.4911718,-0.7856436,0.8350856,0.24641186,-0.2284281,0.23151699,-1.0725636,1.2567204,0.63851684,-1.6885124,0.9683367,0.10974125,-0.32889464,1.3994391,-1.100039,1.258301,0.7577373,0.6368267,0.09826678,2.0083098,1.3590598,-1.7788469,-1.0653911,0.09365728,-0.5180744,-1.3247343,0.62937623,-1.140256,-0.69382304,1.6133229,-0.13126373,1.1386168,-0.89098024,0.18064459,-0.4618539,-0.1128748,-0.056766387,-0.8093149,1.3650682,0.23560591,-0.124411374,0.7939616,-0.053286538,-0.5961759,-0.3957057,0.4614679,0.66594654,0.55728346,1.8153754,1.6091292,-0.41168374,0.2354225,1.023924,1.0551053,-1.3664807,0.725232,1.1465329,0.93119127,1.6335435,-0.8865391,-0.41901237,-1.1590854,0.16634347,0.30789235,0.41707945,1.9469836,-1.1929075,-0.55650324,2.1283827,-0.46668786,-0.35881764,2.4569411,-1.3183576,-1.1327206,0.9221139,1.8024019,1.061755,0.65226626,-1.6289362,0.8061147,-0.36946508,0.10446289,-0.82735837,-0.1290912,1.8648282,-1.2527887,0.20395125,-2.214744,0.19240111,-0.2543869,-0.056204125,-0.6633158,matheus
7,0.030019738,-0.06003195,-0.01457424,2.457074,0.24211536,0.0043282993,0.5889212,-1.4507225,0.5176547,1.7057784,-0.039290182,-0.6772922,-1.4613318,-1.412898,-0.32492116,1.2232443,1.4091487,0.4834553,-0.64989156,-0.13344139,0.5682486,-0.794344,1.1714417,0.83258617,0.34257144,-0.54173505,2.071829,-0.022078648,0.91853464,-0.9147647,-0.39717293,0.43277496,-2.061012,1.1455495,1.6849216,-1.8536326,-0.6017999,0.2282308,1.2703521,-0.5093235,-0.9180773,-0.6074422,-0.13830951,0.91980255,0.62422913,-0.30418864,0.5445085,-0.9917412,0.38972068,2.009828,-1.5015125,-0.16846009,0.91167223,2.0868826,1.2185487,0.617704,0.53970736,-0.60910857,-0.65685695,-0.010496203,-0.60556424,-0.5696405,1.343278,-0.8725067,-1.0589218,2.6396804,-0.17782962,0.4686527,-0.97651136,0.24873397,-1.9996722,-0.7850747,0.8250609,-0.3415193,0.14652659,-0.09377903,-1.022283,-0.17130286,0.0034013912,-0.33784834,-0.2852164,-0.16404568,1.429396,0.027630245,0.3168714,0.76848686,0.106105484,-0.7115437,0.19831702,0.14478618,-0.40651646,-0.16545911,-1.033274,-0.6664415,1.7140067,-1.0904455,-1.056538,-1.2035762,-0.21210003,-0.19730091,-1.1592368,1.9715481,-1.201249,1.5078741,2.653553,0.20892632,-0.5108621,2.107601,-1.0320859,-1.3898588,1.90938,-0.000234209,0.17921963,-0.017559404,-2.6771526,0.44695833,-1.1121277,0.2174028,-0.9567578,-1.526051,0.8961063,-1.1452149,0.7960479,-1.6115177,-0.7554344,0.09234715,0.7905629,-1.029102,matheus
8,-0.52215886,0.9176954,0.069390565,1.6586795,0.77146703,-0.58845955,0.84857816,-1.1175532,-0.9039199,1.5346172,0.8901434,-1.5147196,-2.0687993,-1.5452182,-0.072692305,2.6933026,1.0102261,0.026397564,-1.0353645,0.56262815,0.9778024,1.6774533,-0.04880753,0.5059137,-0.25664875,-0.34271163,1.5580618,0.30406088,1.0413488,1.3155168,0.52782667,0.19023384,-0.5946283,1.0612484,2.465797,-0.28345007,0.111883536,-0.020955428,0.06498116,0.7836802,-0.9057963,-0.5986545,-0.68049157,0.20747972,0.3519281,-0.959119,0.71802974,-0.07791667,-0.8272965,1.974365,-1.0603234,0.51806915,1.4935013,2.7434688,-1.119093,1.0288069,0.3049416,-1.0880086,-1.9143262,-0.46613577,-0.64168125,-0.09643601,0.2550762,-0.3589715,-0.7961851,0.9397623,1.3984083,1.4126539,-0.62864,0.66874695,-0.15311067,-1.1115568,1.1751156,-0.6236047,0.3799393,0.40522742,1.1140724,0.089782335,-0.9223629,-0.03525959,-0.7114485,-0.0071690883,0.6428163,0.671394,1.4777583,1.2610235,0.8091239,-0.3671226,1.567817,0.39034697,-1.4480194,0.60449696,0.91542983,0.29487908,1.3365438,-1.5504117,-0.25740334,-1.4825679,0.4391493,0.44437534,0.056138374,2.595529,-1.2069584,0.28471914,2.6511784,-0.12068836,-0.5978687,2.2015693,0.18591906,-0.3526292,0.7537422,0.15443909,0.498622,0.79809207,-2.0251908,-0.2511239,-0.7155018,0.21859534,-1.3547359,-1.2523395,1.2629098,-0.22956795,-0.073385775,-1.829337,0.90949225,0.5308446,-0.13758998,0.6155767,matheus
9,-0.094908565,0.7958354,-0.1298947,1.7519685,-0.14787349,-0.3845138,1.6139615,-1.6787726,0.19581771,0.9491578,-0.9018688,-1.2992135,-0.8563963,-1.0244063,-0.13223445,1.9404078,0.47465172,0.10793468,-0.20288426,-0.23452264,0.33259088,1.1075841,0.14129809,0.6903832,-0.11750108,-0.17404103,2.3161292,-0.67512965,0.79001415,0.12503636,-0.47351423,0.052224513,-0.42247978,1.1597146,2.3001301,-0.6368642,-1.1493183,-0.8853447,1.0890946,-0.1268664,-0.695744,-0.28350922,-1.5818938,0.47133476,0.5556144,-0.89543295,-0.77712953,-0.6837473,-0.7501203,1.292772,-1.002051,0.5037171,0.6171028,2.0183535,0.45373598,0.9350958,0.80656505,-1.1455121,-1.8907769,-1.2840699,-0.5652076,-1.0151345,0.886912,-1.0726426,-1.1994383,1.6695915,1.0873183,-0.16109227,-1.414723,0.42290133,-0.14561509,-0.57957315,1.6698843,-1.5839468,0.75817496,-0.5853301,-0.60853565,0.41184568,0.11165393,-0.51913154,0.123219855,0.770502,0.6499076,0.1794698,1.0958323,0.76017797,-0.05560711,-1.0168633,1.0388231,0.34874663,-0.79129565,0.7389527,-0.55073756,0.48521745,0.5581789,-0.9447628,-0.77860975,-1.3107977,-0.27789348,0.17176038,-0.37444448,2.671245,-1.0213163,1.1424552,2.755527,-0.20378543,-1.000036,2.4217281,-0.9937793,-0.736186,1.003728,0.5110024,0.4787353,0.702642,-2.394148,0.42471042,-0.5318614,-0.346043,-1.2479436,-1.2657479,1.1318358,-0.4174196,0.54152656,-2.2186944,0.37496984,0.66969967,0.14945316,-0.7683662,matheus
10,-1.5326668,0.5212425,-0.5721722,1.5672473,-0.21694435,-2.3665433,0.5430801,-1.6114246,-0.62331134,1.148814,0.0760188,-1.1346965,-1.1239531,-2.140715,0.3394882,2.148113,0.24766956,1.6316724,-1.4944105,-0.798768,0.8829577,-0.36075047,0.2250534,0.7175786,0.2328602,0.19306844,1.1105064,0.5401108,-0.45946735,-1.0655892,-0.9596735,0.7530962,-1.2239887,1.2881467,2.1626723,-0.49807402,0.37868953,-0.2289277,2.2634108,-0.20459357,-0.3010351,0.82038504,-0.6179483,-0.33872664,-0.31588817,-0.14615163,-0.2120083,-0.4249178,-0.85331607,2.0338542,-0.82705235,0.516132,0.86145127,2.747939,2.0382085,1.0452045,0.24719045,-1.9021649,-1.6211107,0.09830446,0.6034473,-1.4936764,-0.09057172,-1.2316368,0.13983738,1.6276191,-0.14031088,0.7932483,-0.71861,-0.27302307,-1.2936754,0.9584266,0.3417848,-1.3827813,1.2704357,-0.17541593,-1.5269947,0.25590098,0.3187708,-1.0100056,-0.37104443,0.37000465,0.20661674,0.40330476,0.8534073,1.8424708,-0.5685142,0.39178097,0.127517,1.5929786,-0.40677395,0.8206404,0.6276895,1.0741509,0.9909469,-0.92577076,-0.11913335,-0.5388294,0.48596907,-0.2032907,0.5373062,1.8173609,-1.5100211,-0.37094715,2.6138265,-1.2480731,-1.7288593,2.4547174,-1.871315,-0.36978522,1.4750035,0.22738005,0.77350795,-0.38091958,-2.3878183,0.59907186,-0.8857373,0.26755974,-0.6850098,0.21083511,0.18710047,-1.3580316,0.7313957,-2.2554598,-1.1611814,0.5656051,0.15681307,-0.5846772,matheus
11,-0.5825728,0.39042923,-0.743445,1.2688639,0.5415903,-0.20366395,0.6049822,-1.6179078,-0.295003,1.7651939,0.19953632,-0.45459047,-1.6506684,-1.6057274,-0.24796957,2.6503155,0.8515687,0.75989234,-5.1297247e-05,-0.41272864,0.9678049,0.11808091,-0.11630309,0.9498317,-0.26050466,-0.71087164,0.6461699,0.06561618,0.41108555,1.0774012,1.2989259,-0.70833725,-0.3882743,1.8727553,2.492435,-0.60450095,-0.2501089,0.49217835,1.5648248,0.73384786,-0.10165937,0.33181855,-0.62532485,0.5131613,-0.49128607,-0.7652758,-0.09589176,-0.1337851,-0.58563477,0.88396335,-1.2714087,0.70574135,1.0675462,2.0849967,0.8139723,2.0374074,0.91645056,-1.153859,-0.8373387,-0.33998188,0.33069593,-0.08962266,-0.022395497,-0.31150123,0.2722921,1.2562335,0.62991095,1.4580173,-1.2417227,0.6142634,0.04383247,0.18231562,0.445168,-0.65545815,0.74179405,0.5695116,0.0767532,0.3201727,-0.9839249,-0.38759547,-0.7528803,-0.00634679,1.1454449,0.29631808,0.8221582,0.44824097,-0.2838889,0.22800796,-0.024498418,0.61083645,-1.2166767,-0.1559926,-0.24428396,0.76129854,1.4480928,-2.2705183,-0.40472573,-1.3146014,0.8694708,0.7963917,-0.13074294,2.3441174,-2.2771535,0.78203994,2.0407727,0.020852368,-0.764012,1.6378224,-0.87375015,-1.3808872,1.3263252,0.6611804,0.3487491,-0.07080752,-2.1398351,0.31953427,0.18357451,0.30393285,-0.9866967,-0.6141044,1.8214989,0.032175325,1.0353863,-2.8025203,0.025717482,-0.26428792,0.0050091706,-0.6164772,matheus
12,-0.012917332,0.4426826,0.07133425,1.2983502,0.6082058,-0.5484456,1.2960911,-1.7238619,0.15669048,1.4223446,-0.94879353,-0.6815598,-0.7327936,-1.8352389,-0.6622716,2.358233,0.6401799,0.5050698,0.18417239,0.3503204,0.050413728,1.5254352,-0.119391195,0.73499167,-1.2099668,0.110454164,2.3594284,-0.744617,-0.15019825,0.57135636,-0.482066,-0.05654179,-0.071058884,0.08585095,2.0840008,0.056084383,-0.5065456,-0.29878956,1.766721,0.12355894,-0.22656159,-0.625907,-1.874362,-0.3209108,1.3801363,-0.9988703,-1.1566497,0.024275761,-0.018364534,1.0958685,-0.59078556,0.2260063,0.62460876,1.5339767,0.3798862,0.5302572,0.6132992,-1.1213157,-1.8319644,-0.85703194,-0.51545334,-1.3380904,0.46801496,-0.70566183,-0.61911,1.9787364,1.9967904,-0.18924287,-0.4133142,1.2205147,0.013003878,-0.28321666,1.003247,-0.5790267,1.1792974,-1.6048136,-1.239568,0.46269608,0.20625278,-0.36828434,-0.5037753,0.44726935,1.4594924,0.41284248,0.38746986,1.7588519,0.34871092,-0.6178259,0.13232483,0.5209184,-0.85246575,1.2193135,-0.076662175,0.54999995,0.76739985,-1.7556689,-0.01769635,-1.0935389,-0.5231164,0.9636945,-0.7716755,2.4995165,-1.4485301,0.89989436,1.7308066,-0.36271697,-0.8112461,1.914951,-1.263803,-0.16992067,0.56686,0.601059,0.52856183,0.7391908,-2.1382945,0.6267538,-0.63471925,0.2419029,-1.2007766,-1.323856,0.74414915,-0.43645918,0.5226945,-2.7265556,-0.21084891,0.48872986,-0.029480636,-0.69804865,matheus
13,-0.36152092,0.9065442,-0.68488866,1.0527378,0.43704903,-0.8769842,0.91950655,-1.0845248,-0.69829226,1.7542707,0.6087435,-0.79688716,-1.1613561,-2.1702719,-0.49412593,3.1885748,0.767403,0.075279266,-0.30945495,0.5491959,0.6034949,1.5625521,-0.28391966,1.0304759,-0.6418716,-0.107959695,2.7861412,-0.155675,0.2870692,0.8506903,0.011667702,0.6978551,0.75979155,0.56865734,1.9208362,-0.6494441,-0.0021143146,-0.0052215904,1.6060638,0.94880867,-0.6224777,-1.0394652,-0.9647453,-0.3615347,0.7838147,-0.9182834,-0.76073617,0.03442516,0.28982216,1.1747366,-0.7950261,1.1400139,1.5685625,2.2741652,0.54652905,0.7629631,-0.25833783,-0.9092858,-2.350813,-0.6294411,-0.96577454,-0.8854792,-0.12765907,-0.88388896,-0.07252937,1.1771287,1.7104727,0.92426956,-0.6635017,0.43945178,0.13164815,-0.34180617,0.51242757,-0.001205951,0.5489105,-1.0260891,-0.26917213,0.1547019,0.21495315,-0.47211623,-0.22509915,0.59327555,1.3236605,0.25493547,1.258531,2.2301064,-0.65014917,-0.13495494,0.2432009,0.14131583,-1.3636335,1.1683662,1.2254832,1.0371686,1.5903666,-1.8877381,-0.38021538,-0.54779553,-0.5968989,0.35470185,-0.075289525,1.5881782,-1.2372499,0.859776,0.5646917,-0.24547607,-0.52302796,1.9340739,-1.7456287,0.018003313,0.25754958,0.9395615,0.97156906,-0.108745605,-2.195315,0.06274748,-0.5332711,0.10600183,-0.65755767,-0.7650131,0.9254066,-0.32628763,0.79012793,-2.4056926,0.12980968,1.228097,0.28449008,0.77512735,matheus
